,age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,salary
25,56,21.579449293063664,0.0,0.0,40,2,8,0,13,0,3,1,39,1
26,19,20.254296263901693,0.0,0.0,40,3,10,1,3,1,3,1,39,0
27,54,20.603705049490667,0.0,0.0,60,0,14,0,0,0,0,1,35,1
28,39,24.61746944055539,0.0,0.0,80,3,10,2,4,1,3,1,39,0
29,49,20.969835729230205,0.0,0.0,40,3,10,0,3,0,3,1,39,0
30,23,20.89742605775736,0.0,0.0,52,2,7,1,11,1,3,1,39,0
31,20,22.710491408165783,0.0,0.0,44,3,14,1,12,1,1,1,39,0
32,45,24.940830267822108,0.0,2.237920937260557,40,3,8,2,4,1,3,1,39,0
33,30,15.647649440663338,0.0,0.0,40,1,14,0,1,1,3,1,39,0
34,22,23.62483017361437,0.0,0.0,15,2,14,0,8,0,1,1,39,0
35,48,22.18890349475203,0.0,0.0,40,3,1,1,7,1,3,1,33,0
36,21,21.073017492126997,0.0,0.0,40,3,14,1,7,1,3,1,39,0
37,19,27.159257051744603,0.0,0.0,25,3,10,0,1,2,3,0,39,0
38,31,17.032119319327524,0.0,0.0,38,3,14,0,12,0,3,1,0,1
39,48,22.699000024375767,0.0,0.0,40,4,7,0,10,0,3,1,39,0
40,31,26.695570648305864,0.0,0.0,43,3,6,0,7,0,3,1,39,0
41,53,17.248176130583666,0.0,0.0,40,4,8,0,10,0,3,1,39,0
42,24,20.39404469543547,0.0,0.0,50,3,8,0,13,0,3,1,39,0
43,49,17.539466870766596,0.0,0.0,40,3,10,2,1,1,3,0,39,0
44,25,23.205557757991023,0.0,0.0,35,3,10,1,6,1,3,1,39,0
45,57,24.109901791389646,0.0,0.0,40,1,8,0,10,0,1,1,39,1
46,53,19.4922723340604,0.0,0.0,38,3,10,0,7,0,3,1,39,0
47,44,18.927896471946756,0.0,0.0,40,3,11,2,4,1,3,0,39,0
48,41,17.85363422090822,0.0,0.0,40,2,7,0,3,0,3,1,39,0
49,29,22.825949964241417,0.0,0.0,43,3,7,1,10,1,3,1,39,0
50,25,13.4034488931848,0.0,0.0,40,3,14,0,4,2,2,0,39,0
51,18,21.82656620823027,0.0,0.0,30,3,10,1,8,1,3,0,0,0
52,47,15.08883730234328,0.0,2.3139646691309244,60,3,13,0,10,2,3,0,16,1
53,50,22.39603750013239,0.0,0.0,55,1,8,2,4,1,3,1,39,1
54,47,18.2046453612606,0.0,0.0,60,3,10,2,4,1,3,1,39,0
55,43,22.08721943461254,0.0,0.0,40,3,14,0,13,0,3,1,39,1
56,46,21.5748453531006,0.0,0.0,40,3,4,0,7,0,3,1,26,0
57,35,15.407328191458916,0.0,0.0,40,3,7,0,8,0,3,1,33,0
58,41,19.593126586098535,0.0,0.0,48,3,10,0,1,0,3,1,39,0
59,30,20.826857589286842,2.577044792151545,0.0,40,3,10,0,7,0,3,1,39,0
60,30,15.61787498395944,2.375305998984199,0.0,40,3,8,0,12,0,3,1,39,0
61,32,23.284300469797245,0.0,0.0,40,0,5,2,0,1,3,1,0,0
62,48,19.66807813257989,0.0,0.0,40,3,10,0,14,0,3,1,39,0
63,42,18.48010484163633,0.0,0.0,45,3,9,0,10,0,3,1,39,1
64,29,18.026604197230085,0.0,0.0,58,3,14,2,13,1,3,1,39,0
65,36,19.85904818241984,0.0,0.0,40,3,10,0,3,0,3,1,39,0
66,28,20.68790675375748,0.0,0.0,40,3,14,2,1,1,3,0,39,0
67,53,20.300831702602423,0.0,0.0,40,3,10,0,1,2,3,0,39,1
68,49,20.924002662006558,0.0,0.0,50,3,14,0,4,0,3,1,39,1
69,25,21.165404074141538,0.0,0.0,40,0,14,1,0,1,3,1,39,0
70,19,17.849503377877138,0.0,0.0,32,3,14,1,10,1,3,1,39,0
71,31,23.595615844985883,0.0,0.0,40,3,8,2,12,1,1,0,39,0
72,29,20.071428931178342,0.0,0.0,70,4,8,0,12,0,3,1,39,1
73,23,21.449586821125326,0.0,0.0,40,3,14,1,7,1,3,1,39,0
74,79,18.79338091902174,0.0,0.0,20,3,14,0,10,1,3,1,39,0
75,27,21.506183893733112,0.0,0.0,40,3,10,1,8,1,3,1,26,0
76,40,13.397111244029627,0.0,0.0,40,3,7,0,1,0,3,1,39,0
77,67,21.476919291652667,0.0,0.0,2,0,0,0,0,0,3,1,39,0
78,18,23.589142873577394,0.0,0.0,22,3,1,1,8,1,3,0,39,0
79,31,18.837779725515986,0.0,0.0,40,2,5,0,5,0,3,1,39,0
80,18,25.854596706203278,0.0,0.0,30,3,10,1,12,1,3,1,39,0
81,52,22.931352683702634,0.0,0.0,40,3,8,0,8,0,3,1,5,0
82,46,15.073020621897264,0.0,0.0,40,3,10,0,8,2,3,0,39,0
83,59,19.99803095923497,0.0,0.0,48,3,10,0,12,0,3,1,39,0
84,44,24.210872736002532,2.8963580786118297,0.0,40,3,10,2,3,1,3,0,39,1
85,53,24.25763104565657,0.0,0.0,35,3,10,2,12,1,3,0,39,0
86,49,22.75770463221862,0.0,0.0,40,2,10,0,11,0,3,1,39,1
87,33,21.20143472172379,0.0,0.0,50,3,11,0,10,0,3,1,39,0
88,30,15.267499681380844,0.0,0.0,40,3,6,1,12,1,3,1,39,0
89,43,25.31776213392798,0.0,0.0,50,1,9,1,10,1,3,0,39,1
90,57,22.36016546161892,0.0,0.0,40,3,7,0,10,0,3,1,39,0
91,37,23.14026263083247,0.0,0.0,40,3,14,2,3,1,3,0,39,0
92,28,21.471971285723157,0.0,0.0,25,3,14,2,7,1,1,0,39,0
93,30,18.524114753632144,0.0,2.265646138760025,35,3,10,0,12,2,0,0,0,0
94,34,21.810680673237943,0.0,0.0,40,2,8,0,11,0,3,1,39,1
95,29,18.438490731642005,0.0,0.0,50,2,14,1,6,1,3,1,39,0
96,48,20.912968722046127,0.0,2.3139646691309244,60,4,9,0,10,0,3,1,39,1
97,37,21.217994424916963,0.0,0.0,48,3,14,0,12,0,3,1,39,1
98,48,20.33805088218413,0.0,0.0,40,3,7,2,4,1,3,0,9,0
99,32,22.347452881828364,0.0,0.0,40,1,10,1,8,1,1,1,39,0
100,76,18.7725180691039,0.0,0.0,40,3,11,0,4,0,3,1,39,1
101,44,21.101864145497824,2.9113021834918844,0.0,60,3,8,0,4,0,3,1,39,1
102,47,19.650837364589247,0.0,0.0,50,4,11,1,10,1,3,0,39,0
103,20,20.83111804668541,0.0,0.0,40,3,14,1,13,1,3,0,39,0
104,29,17.933445223944886,0.0,0.0,40,3,10,1,3,1,3,1,39,0
105,32,23.740542172376202,2.7024461054414277,0.0,40,3,10,0,3,0,3,1,39,1
106,17,23.497937324159444,3.18883684526171,0.0,32,0,0,1,0,1,3,0,39,0
107,30,21.011328698083396,0.0,0.0,40,3,1,1,6,1,3,1,39,0
108,31,20.857755741737833,0.0,0.0,40,2,10,1,1,1,3,0,39,0
109,42,18.79142209012072,0.0,0.0,40,3,10,0,6,0,3,1,39,0
110,24,25.64279703319771,0.0,0.0,40,3,8,1,12,1,3,1,39,0
111,38,15.987044820678923,0.0,0.0,40,3,13,0,10,0,3,1,39,1
112,56,24.06894783287347,0.0,2.311929867334273,50,4,10,0,8,0,3,1,2,1
113,28,24.79335598437073,2.5176471042739137,0.0,25,3,14,0,12,2,3,0,39,0
114,36,17.908773843186964,0.0,0.0,40,3,10,1,7,1,3,0,39,0
115,53,17.58603115450632,0.0,0.0,50,3,6,0,6,0,3,1,39,0
116,56,23.463505755927,0.0,0.0,50,3,14,0,12,0,3,1,39,0
117,49,21.07758432124846,0.0,0.0,40,2,7,0,3,0,1,1,39,1
118,55,22.305738673599645,0.0,0.0,56,3,14,0,12,0,3,1,39,0
119,22,17.89866740598297,0.0,0.0,41,3,10,1,3,1,3,1,39,0
120,21,21.145177996685756,0.0,0.0,40,3,14,1,8,1,3,0,39,0
121,40,18.56746171443966,0.0,0.0,60,3,8,0,4,0,3,1,39,0
122,30,16.665721919673814,0.0,0.0,40,3,8,1,4,1,1,1,11,0
123,29,22.7525062341689,0.0,0.0,50,2,8,0,10,0,3,1,39,1
124,19,23.434732158923353,0.0,0.0,35,3,14,1,8,1,1,1,39,0
125,47,23.162384141706347,0.0,0.0,40,3,8,0,4,2,3,0,39,1
126,20,18.281438980261896,0.0,2.2881005073677634,28,3,14,1,1,1,3,0,39,0
127,31,18.41259346204992,0.0,0.0,40,3,7,0,1,0,3,1,39,1
128,35,18.9628596038696,0.0,0.0,40,0,10,0,0,0,3,1,39,0
129,39,24.591941569828915,0.0,0.0,40,3,14,2,3,1,3,1,39,0
130,28,16.243703897542357,0.0,0.0,60,3,7,1,12,1,3,0,39,0
131,24,14.42711955322168,0.0,2.2943904307627263,40,3,10,1,8,1,3,0,39,0
132,38,18.65017375163624,2.539067765255628,0.0,35,4,10,0,3,0,3,1,39,0
133,37,22.454052864529366,0.0,0.0,50,3,8,0,12,0,3,1,39,0
134,46,19.553888296396142,0.0,0.0,36,3,7,2,13,1,1,0,39,0
135,38,18.838004110792586,0.0,0.0,40,1,11,0,10,0,3,1,20,1
136,43,15.44600684109477,0.0,0.0,60,4,10,0,3,0,3,1,39,0
137,27,20.097010635050705,0.0,0.0,35,3,7,0,1,2,3,0,39,0
138,20,13.60990768776265,0.0,0.0,20,3,14,1,12,1,3,1,39,0
139,49,16.920675912597694,0.0,0.0,40,3,14,0,3,0,0,1,39,1
140,61,16.065393896042817,0.0,0.0,40,3,10,0,3,0,3,1,39,0
141,27,21.965310601307003,0.0,0.0,40,3,14,1,12,1,3,0,39,0
142,19,23.725730648544065,0.0,0.0,30,3,14,1,8,1,3,1,26,0
143,45,21.0565415635571,0.0,2.2642021283863363,40,3,7,1,10,1,3,0,39,1
144,70,18.01712232972779,0.0,0.0,40,3,14,1,13,1,3,1,39,0
145,31,20.762020145780845,0.0,0.0,30,3,10,1,14,1,1,0,39,0
146,22,20.464036507683524,0.0,0.0,24,3,14,0,8,0,3,1,39,0
147,36,18.1405352144453,0.0,0.0,24,3,10,2,8,1,3,0,39,0
148,64,20.63282624109887,0.0,2.349186357177703,40,3,1,0,3,0,3,1,39,0
149,43,20.44323435125509,0.0,0.0,40,0,14,2,0,1,3,0,39,0
150,47,20.767465109056882,0.0,0.0,38,2,14,2,1,1,3,0,26,0
151,34,21.099229670595122,0.0,0.0,40,3,10,1,1,1,3,0,39,0
152,33,20.09319039070617,0.0,0.0,40,3,8,1,4,1,0,0,30,0
153,21,23.328180509106307,0.0,0.0,35,3,10,1,3,1,3,1,39,0
154,52,22.42531206401133,0.0,0.0,45,0,10,2,0,1,3,1,39,1
155,48,20.81491992251475,0.0,0.0,46,3,10,0,3,0,3,1,39,0
156,23,21.521774726456087,0.0,0.0,40,3,8,1,6,1,3,1,39,0
157,71,26.51433493895764,0.0,2.302098928392348,2,4,14,2,12,1,1,1,39,0
158,29,20.920017163507254,0.0,0.0,60,3,10,2,3,1,3,1,39,0
159,42,21.862541261246516,0.0,0.0,50,3,8,2,8,1,1,1,39,0
160,68,13.99097159100715,0.0,0.0,20,0,3,2,0,1,3,0,39,0
161,25,22.421963961615138,0.0,0.0,40,3,10,1,8,1,3,0,39,0
162,44,16.73181303919648,0.0,0.0,40,3,11,2,4,1,0,0,39,0
163,28,17.24393589605905,0.0,0.0,40,3,10,1,4,1,0,0,9,0
164,45,21.17591666258409,0.0,0.0,40,4,11,0,12,0,3,1,39,1
165,36,21.334128335381187,0.0,0.0,40,3,14,2,8,1,3,0,26,0
166,39,22.028798587527884,0.0,0.0,42,1,7,1,4,1,3,1,39,0
167,46,17.898493006877363,0.0,0.0,40,2,11,2,11,1,3,1,39,0
168,18,12.677181098323492,0.0,0.0,16,3,1,1,6,1,3,1,39,0
169,66,15.301945133764315,0.0,0.0,20,2,7,2,10,1,3,0,39,0
170,27,18.801247732708376,0.0,2.3243211403133897,40,3,10,1,8,1,3,1,39,0
171,28,20.462606930224865,0.0,0.0,40,2,10,0,11,0,3,1,39,0
172,51,17.605076075306926,0.0,2.323929576704881,40,3,14,0,12,0,3,1,39,1
173,27,25.578115980640554,0.0,0.0,50,3,8,1,3,1,3,1,39,0
174,28,19.66755236762941,0.0,0.0,40,2,8,0,10,0,3,1,39,1
175,27,22.445479797023452,0.0,0.0,25,3,10,2,12,1,3,0,39,0
176,21,23.652160672877425,0.0,0.0,40,3,10,1,3,1,1,1,39,0
177,34,26.373107454195196,0.0,0.0,40,3,10,1,6,1,1,1,39,0
178,18,20.70919143419249,0.0,0.0,12,3,10,1,8,1,3,1,39,0
179,33,13.894774412555694,0.0,0.0,65,3,8,0,10,0,3,1,39,0
180,44,20.63601323510782,0.0,0.0,38,2,14,0,4,0,1,1,39,1
181,43,18.398279172186644,0.0,0.0,40,3,14,2,1,1,3,0,39,0
182,30,28.214874477734824,0.0,0.0,45,3,14,1,3,1,1,1,39,0
183,40,23.132995847066038,0.0,0.0,40,3,5,0,7,0,3,1,26,1
184,37,13.055739710168227,0.0,0.0,42,1,14,0,1,0,3,1,39,1
185,34,23.481677000841238,0.0,0.0,40,3,10,0,1,0,1,1,39,0
186,41,19.45055102747494,0.0,0.0,40,4,8,2,4,1,3,0,39,0
187,53,19.172019208898533,0.0,0.0,50,0,8,2,0,1,3,0,39,0
188,31,17.779592332844203,0.0,0.0,50,3,11,0,10,2,3,0,39,0
189,58,18.193654479516326,0.0,0.0,1,2,9,0,10,0,3,1,39,1
190,38,19.848985694537415,0.0,0.0,28,3,14,2,7,1,1,0,39,0
191,24,19.986454996176963,0.0,0.0,40,3,14,0,7,0,3,1,39,0
192,41,26.903833835183622,0.0,0.0,40,2,8,0,3,0,1,1,39,0
193,47,18.648400741883087,0.0,0.0,45,3,14,0,13,0,3,1,39,0
194,41,19.015980701653454,0.0,0.0,24,1,8,0,13,0,3,1,39,0
195,23,21.078011475057302,0.0,0.0,40,3,4,0,14,1,3,1,26,0
196,36,17.754898456927336,0.0,0.0,40,3,14,2,3,1,3,1,39,0
197,40,15.437519741150846,2.8904772622638935,0.0,55,1,11,1,4,1,3,0,39,1
198,35,19.30845174156004,2.6868589810723695,0.0,40,3,11,0,10,1,3,1,39,1
199,24,13.47002043842121,0.0,0.0,40,4,10,1,12,1,3,1,39,0
200,26,25.106390929371553,0.0,2.310428521324417,40,3,11,1,10,1,3,0,39,0
201,19,20.324903010787768,0.0,0.0,40,0,10,1,0,1,3,1,22,0
202,51,22.566294900480564,0.0,0.0,50,3,8,0,4,0,3,1,39,1
203,42,22.46762153404751,0.0,2.2256459994881364,40,2,14,1,10,1,3,0,39,0
204,37,14.817895747554271,0.0,0.0,35,2,10,2,1,1,3,0,39,0
205,18,19.349026558265102,0.0,0.0,40,3,1,1,12,1,3,0,39,0
206,36,18.942736246113036,2.6868589810723695,0.0,36,3,8,0,8,0,1,1,39,1
207,35,13.800247931731029,0.0,0.0,60,3,10,2,3,1,3,1,39,0
208,58,21.421284781531224,2.9113021834918844,0.0,35,3,10,0,12,2,3,0,39,1
209,17,15.98973622186589,0.0,0.0,12,3,1,1,12,1,3,0,39,0
210,44,20.029403842474846,0.0,0.0,40,2,10,0,14,0,1,1,39,0
211,37,21.364982676505225,0.0,0.0,40,3,10,0,3,0,3,1,39,1
212,35,19.803047274446357,0.0,0.0,40,3,14,1,12,1,2,0,39,0
213,60,17.11554772060707,0.0,0.0,40,3,10,0,3,0,0,1,39,0
214,54,18.81867760059375,0.0,0.0,40,3,5,0,7,0,3,1,39,1
215,37,28.239007310934852,0.0,0.0,60,3,8,1,4,1,1,1,39,1
216,50,23.65905402645669,0.0,0.0,40,3,7,2,12,1,3,0,39,0
217,38,20.6719070981165,0.0,0.0,50,3,8,0,12,0,3,1,31,0
218,45,18.188130785562933,0.0,0.0,55,3,8,0,10,0,3,1,39,0
219,25,22.471742422267663,0.0,0.0,40,3,0,1,3,1,3,1,39,0
220,31,21.090627494381387,0.0,0.0,40,3,14,0,6,0,3,1,39,0
221,64,20.813284164784324,0.0,0.0,40,0,3,2,0,1,3,1,39,0
222,90,15.082210558462805,0.0,2.352402992092772,40,3,10,1,8,1,1,1,39,0
223,54,20.502058206284694,0.0,0.0,20,3,10,0,1,0,1,1,39,0
224,53,19.355752774216654,0.0,0.0,35,2,12,1,7,1,3,0,39,0
225,18,22.209630249308844,0.0,0.0,40,3,10,1,12,1,3,0,39,0
226,60,12.474441719712512,0.0,0.0,10,0,0,2,0,1,2,0,39,0
227,66,20.236008295284037,2.2380974851487,0.0,50,4,10,0,5,0,3,1,39,0
228,75,23.675799590937675,0.0,0.0,20,3,7,2,1,1,3,0,4,0
229,65,20.505393541474096,0.0,0.0,40,3,10,2,1,1,3,0,39,0
230,35,27.09025919267916,2.489582786068207,0.0,40,3,1,2,14,1,1,1,39,0
231,41,19.0031702226492,0.0,0.0,38,3,10,2,12,1,1,0,39,0
232,25,19.991619734307207,0.0,0.0,42,3,14,1,1,1,3,1,39,0
233,33,18.251948028379132,0.0,0.0,40,3,14,2,3,1,2,0,39,0
234,28,16.642503503509072,0.0,0.0,55,3,13,1,10,1,3,1,39,1
235,59,22.767582377313964,0.0,0.0,40,2,10,0,8,0,3,1,39,0
236,40,20.321090713815522,0.0,0.0,38,2,14,1,1,1,3,0,39,0
237,41,20.601618191586816,0.0,0.0,50,3,8,0,4,0,3,1,20,1
238,38,18.41815779429297,0.0,0.0,70,2,11,0,4,0,3,1,39,1
239,23,18.43342378134996,0.0,0.0,40,3,10,1,14,1,3,1,39,0
240,40,24.286251399703175,0.0,0.0,40,3,8,0,10,0,3,1,39,1
241,41,21.040912570680273,0.0,0.0,20,4,10,0,8,2,3,0,39,0
242,24,22.877048349375244,0.0,0.0,50,2,7,0,11,0,3,1,39,0
243,20,18.579284239769184,0.0,0.0,20,0,14,1,0,1,3,1,39,0
244,38,20.583008556358013,0.0,2.291335861931147,40,3,14,2,3,1,3,1,39,0
245,56,21.241431313649684,0.0,0.0,35,3,10,0,1,0,3,1,0,0
246,58,22.054735286369226,0.0,0.0,45,3,10,0,1,0,3,1,39,1
247,32,20.708797348186923,0.0,0.0,34,3,10,1,8,1,3,0,39,0
248,40,21.344959288686084,0.0,2.323929576704881,60,3,7,0,13,0,3,1,39,1
249,45,19.782121715794858,0.0,0.0,40,3,10,0,1,0,3,1,0,0
250,41,18.32490177350984,0.0,0.0,40,3,13,0,10,2,3,0,39,1
251,42,25.002495626286095,0.0,0.0,40,3,8,0,1,2,1,0,39,0
252,59,20.34497152243888,0.0,0.0,30,2,0,2,8,1,1,0,39,0
253,19,12.863711503745435,0.0,0.0,40,2,14,1,1,1,3,1,39,0
254,58,22.55956959740631,0.0,0.0,20,3,14,1,14,1,3,1,39,0
255,42,23.462615440592877,0.0,0.0,40,4,10,0,5,0,0,1,1,1
256,20,18.525766406696,0.0,0.0,40,3,10,1,8,1,3,0,39,0
257,32,20.382008906963048,0.0,0.0,30,3,10,2,8,1,3,0,39,0
258,45,20.81356143900228,0.0,0.0,45,3,7,2,4,1,3,0,39,0
259,50,21.26585675927667,0.0,0.0,40,3,5,2,3,1,3,1,39,0
260,36,19.68127416080057,0.0,0.0,40,3,8,2,10,1,3,0,39,0
261,45,17.69735641246461,0.0,0.0,60,3,10,0,12,0,3,1,39,0
262,17,22.26883921171523,0.0,0.0,12,3,1,1,8,1,3,1,39,0
263,59,19.54779973269834,2.5176471042739137,0.0,40,3,14,0,12,0,3,1,39,0
264,26,24.800783389502456,0.0,0.0,40,3,1,0,3,0,3,1,39,0
265,37,22.522045767074207,0.0,0.0,75,3,14,0,4,0,0,1,37,1
266,19,21.631628343414842,0.0,0.0,24,0,14,1,0,1,3,1,2,0
267,64,12.062872213006345,0.0,0.0,40,3,10,0,4,0,3,1,39,1
268,33,20.75268393601872,0.0,0.0,45,3,8,1,10,1,3,0,39,0
269,33,21.711431401727424,0.0,0.0,40,3,10,0,3,2,3,0,39,1
270,61,16.25803386725545,0.0,0.0,40,3,10,0,4,0,3,1,39,1
271,17,20.912504039520396,2.1672895649572896,0.0,24,3,6,1,8,1,3,1,39,0
272,50,13.231779234957033,2.375305998984199,0.0,98,4,11,0,5,0,3,1,39,0
273,27,21.38420855249116,0.0,0.0,35,2,11,1,10,1,3,1,39,0
274,30,16.287622215413844,0.0,0.0,40,3,10,2,10,1,3,0,39,0
275,43,26.293785316216457,0.0,0.0,40,3,10,0,6,0,1,1,39,0
276,44,20.332967286937812,2.6868589810723695,0.0,40,3,14,0,3,0,3,1,39,1
277,35,20.88275461636838,0.0,0.0,40,3,14,1,4,1,3,0,39,0
278,25,20.9812403997201,0.0,0.0,40,3,14,1,13,1,3,0,39,0
279,24,22.992414263939974,2.6868589810723695,0.0,48,3,14,0,7,2,3,0,39,1
280,22,13.669805653628922,0.0,0.0,15,3,8,1,10,1,3,0,11,0
281,42,17.679106195496622,2.586334373360869,0.0,40,2,14,0,3,0,3,1,39,1
282,34,20.465174120551634,0.0,0.0,45,3,7,2,12,1,1,0,39,0
283,60,20.42266200098025,0.0,0.0,42,3,8,2,10,1,3,0,39,0
284,21,21.29804352046131,0.0,0.0,40,3,10,1,6,1,3,1,39,0
285,57,25.535146566864903,2.9113021834918844,0.0,40,1,11,0,12,0,3,1,39,1
286,41,21.670424147611772,0.0,0.0,60,3,13,0,10,0,3,1,39,1
287,50,20.499969167528125,0.0,0.0,45,3,14,2,8,1,3,1,39,0
288,25,24.69630276005168,0.0,0.0,40,3,8,1,4,1,3,0,39,0
289,50,20.983865444762518,0.0,0.0,40,3,5,0,3,0,3,1,7,0
290,36,21.15672400101462,0.0,0.0,45,3,8,0,10,0,3,1,39,0
291,31,18.899852466749213,0.0,0.0,40,3,10,2,10,1,3,0,39,0
292,29,21.667672210379685,0.0,0.0,56,2,8,1,11,1,3,1,39,0
293,21,21.945207930179922,0.0,0.0,45,3,14,1,12,1,3,1,39,0
294,27,22.32486143746318,0.0,0.0,40,3,8,1,13,1,1,0,39,0
295,65,18.256756716091758,0.0,0.0,16,3,10,0,14,0,3,1,39,0
296,37,15.48008568490506,0.0,0.0,60,3,8,2,12,1,3,0,39,0
297,39,19.919610360427527,2.473354866014705,0.0,40,0,11,0,0,2,0,0,0,0
298,24,22.964762532553017,0.0,0.0,40,3,10,1,3,1,3,1,39,0
299,38,20.289557088690888,0.0,0.0,80,3,10,2,12,1,3,1,39,0
300,48,19.556328815286342,2.7024461054414277,0.0,40,3,8,0,1,0,3,1,39,1
301,21,19.800729064883285,0.0,0.0,25,3,14,1,8,1,0,0,39,0
302,31,21.594584186345536,0.0,0.0,45,3,10,0,14,0,3,1,39,1
303,55,22.102169244847996,2.539067765255628,0.0,40,3,10,0,12,0,3,1,39,1
304,24,23.46749157758159,0.0,0.0,40,3,14,0,1,2,0,0,25,0
305,43,20.40388168402057,0.0,0.0,40,3,10,2,1,1,3,0,39,0
306,26,20.98551574184717,0.0,0.0,45,3,7,1,13,1,3,1,39,0
307,46,16.97761714031354,0.0,0.0,33,3,7,1,10,1,3,0,39,0
308,35,20.98199824583802,0.0,0.0,40,3,7,0,1,0,3,1,39,1
309,41,13.676553738073936,0.0,0.0,54,3,14,0,5,0,3,1,39,1
310,26,15.605391134141618,0.0,0.0,40,3,8,1,12,1,3,1,39,0
311,34,19.44266430755012,2.6868589810723695,0.0,35,3,11,0,4,0,0,1,36,1
312,19,30.455696669058614,0.0,0.0,25,0,14,1,0,1,1,0,39,0
313,36,21.294109063390863,0.0,0.0,40,4,8,2,10,1,1,0,39,1
314,22,21.139437591325986,0.0,0.0,15,3,14,1,12,1,3,1,39,0
315,24,20.931448893504523,0.0,0.0,40,3,14,1,7,1,3,1,39,0
316,77,19.29878971005491,0.0,0.0,40,4,14,0,12,0,3,1,39,0
317,22,25.1343058351663,0.0,0.0,40,3,4,0,7,1,3,0,26,0
318,29,25.505018269527124,0.0,0.0,40,3,14,1,13,1,3,0,39,0
319,62,19.995029397290153,0.0,0.0,24,3,10,2,8,1,3,0,39,0
320,39,20.432868026861104,0.0,0.0,40,4,10,0,4,0,3,1,39,0
321,43,14.980034246303457,0.0,2.251199846126711,50,3,14,0,3,0,3,1,39,0
322,35,20.7702836380221,0.0,0.0,45,3,10,2,14,1,3,1,39,0
323,29,21.157489543280164,0.0,0.0,40,3,1,1,4,1,3,0,39,0
324,76,20.432897332492615,0.0,0.0,10,4,11,0,3,0,3,1,39,0
325,63,16.732293363772,0.0,0.0,45,4,10,0,5,0,3,1,39,0
326,23,21.447635929286882,0.0,0.0,15,0,7,1,0,1,1,0,39,0
327,43,20.815280291867083,0.0,2.311929867334273,50,3,14,0,10,2,3,0,39,1
328,58,23.805871278747002,0.0,0.0,40,4,10,0,6,0,3,1,39,0
329,66,18.911913004850664,2.33331112234769,0.0,55,3,10,1,14,1,3,1,39,0
330,41,21.31887014796387,0.0,0.0,45,3,14,1,3,1,1,1,39,0
331,26,21.76880306071974,0.0,0.0,40,3,8,1,1,1,3,1,39,0
332,47,20.559977343601954,0.0,0.0,40,3,7,1,8,1,3,1,39,0
333,55,17.71775322394057,0.0,0.0,40,2,0,0,1,0,3,1,39,0
334,53,22.193478885127757,0.0,0.0,40,3,10,0,14,0,3,1,39,0
335,17,22.814926976706165,0.0,0.0,48,3,4,1,8,1,3,1,26,0
336,30,17.520764762140487,0.0,0.0,40,3,10,1,3,1,3,1,39,0
337,49,16.334745543531493,0.0,0.0,60,3,11,1,10,1,3,1,39,0
338,19,17.962848099173197,0.0,0.0,30,3,10,1,12,1,1,1,14,0
339,45,22.606845576119074,0.0,0.0,40,3,10,0,8,0,1,1,39,0
340,26,17.55325784426558,0.0,0.0,40,3,7,1,12,1,3,1,39,0
